Country,Sexuality - Avg. D (Real),Sexuality Avg. Explicit (Real),Sexuality Avg. Therm (Real),Age - Avg. D (Real),Age Avg. Explicit (Real),Age Avg. Therm (Real),Gend - Avg. D (Real),Gend Avg. Explicit (Real),Gend Avg. Therm (Real)
Argentina,0.450939918084307,1.09157716223855,1.31412544620092,0.535104785478542,0.759550561797753,0.511347517730496,0.248761508864012,0.0907599781301257,0.846916299559471
Australia,0.209693451456992,0.237113402061856,0.0277892348937925,0.458947314679828,0.367077035592394,0.0636417206835592,0.374426442440988,0.0595463735152894,1.53670991778006
Austria,0.163693017488561,0.410945751320211,0.534934497816594,0.556173542446259,0.393939393939394,0.365384615384615,0.448431115686061,0.0404858299595142,1.05732484076433
Belgium,0.253136342360151,0.612270450751252,0.729608938547486,0.563185210893513,0.658097686375321,0.727870813397129,0.433026049892552,0.108244815376834,1.37525667351129
Brazil,0.144319261435697,0.558502237430903,0.543490801871675,0.430177918265068,0.605892021747376,0.567252910577161,0.335161344920528,-0.242479727962333,1.51318902813075
Canada (English),0.199875262706752,0.269145781240914,0.0363966480446927,0.451677217013284,0.353593627870622,-0.0277157872003455,0.357993549117056,0.0449075078986084,1.46635040802281
Canada (French),0.128413963422832,0.374776386404293,0.653410261693798,0.505324900380753,0.532064128256513,0.431353456669912,0.424877354313613,0.0353846153846154,1.29333680374805
China,0.0876367188647818,0.972423622730371,1.47225899626911,0.481560231265485,0.816786836753559,-0.351499118165785,0.526587829892643,-0.065377532228361,2.67619304394716
Colombia,0.267840576226796,0.659227985524729,0.71849710982659,0.445216057139753,0.499087591240876,-0.235452103849597,0.323301554461594,-0.128190584231424,1.54727793696275
Czech Republic,0.227396620255251,0.753598645215919,1.2093949044586,0.573340098627482,0.736535662299854,0.449515905947441,0.410356218392083,-0.0373482726423903,1.48771266540643
Denmark,0.156115725104233,0.494752623688156,0.696598639455782,0.507465487790925,0.602864583333333,0.316377171215881,0.488891400120232,0.000586510263929619,2.28588304784406
France,0.0945201492695993,0.318720484718881,0.534186441379882,0.551436874918013,0.589950004236929,0.46473062611228,0.426099455599581,0.0361308970785589,1.42005518821263
Germany,0.148018152819212,0.454981946685104,0.527616127121302,0.585906195981685,0.44547108039287,0.3948483192129,0.470966998903999,0.0445578819865029,1.3544115067532
Hungary,0.300038930180396,0.819111537232343,1.93455612619222,0.552570600539492,0.606867554309741,0.68297213622291,0.47238013489282,-0.290553138595401,1.77098997493734
India,0.316110668709547,0.842292490118577,0.968555900621118,0.399997504613994,0.490774907749078,-0.147477000278784,0.257625810696387,0.131556611780682,1.42122351332878
Ireland,0.181020767498458,0.213759213759214,0.0761979575805185,0.481190444536335,0.411925976696367,0.0591362126245847,0.356530854198482,0.165268870251603,1.4062186559679
Israel,0.255755096648624,0.534979423868313,0.704947526236882,0.456354179728533,0.647877984084881,0.199112238427394,0.452146769628466,-0.380622837370242,1.71039005868139
Italy,0.272833593213108,0.511235456079581,0.914367913352513,0.550740682534496,0.664076782449726,0.564491320588882,0.388012890006764,-0.114924958310172,0.752099664053751
Japan,0.0539150114403242,0.876219825372368,1.11793831168831,0.538858570188294,0.827959439444001,0.597105864432597,0.382875994930502,-0.143339449541284,1.54589300289382
